date,ticker,open,high,low,close,volume
2017-01-03,FRC,92.98999786376952,93.58999633789062,91.6999969482422,92.58000183105467,1965900
2017-01-04,FRC,92.91000366210938,93.51000213623048,92.41000366210938,92.91999816894533,1201600
2017-01-05,FRC,92.4800033569336,93.02999877929688,91.1500015258789,92.06999969482422,1226100
2017-01-06,FRC,92.76000213623048,93.4000015258789,92.4499969482422,92.75,828200
2017-01-09,FRC,91.58000183105467,92.61000061035156,91.36000061035156,92.0199966430664,1057200
2017-01-10,FRC,92.0,92.68000030517578,91.6999969482422,92.3000030517578,1105900
2017-01-11,FRC,92.0500030517578,92.48999786376952,91.5500030517578,92.48999786376952,1850600
2017-01-12,FRC,92.0999984741211,92.37000274658205,90.5500030517578,91.8499984741211,1231200
2017-01-13,FRC,91.11000061035156,94.1500015258789,91.11000061035156,92.9499969482422,1356700
2017-01-17,FRC,91.72000122070312,92.51000213623048,91.0199966430664,91.72000122070312,1879800
2017-01-18,FRC,92.23999786376952,92.43000030517578,90.9800033569336,92.12999725341795,1458700
2017-01-19,FRC,92.5,92.97000122070312,91.66000366210938,92.11000061035156,1195100
2017-01-20,FRC,92.0999984741211,92.62000274658205,91.91999816894533,92.55999755859376,1207300
2017-01-23,FRC,92.04000091552734,92.97000122070312,92.04000091552734,92.66000366210938,1139900
2017-01-24,FRC,92.83000183105467,93.55999755859376,92.66000366210938,93.30999755859376,751400
2017-01-25,FRC,94.18000030517578,95.37999725341795,94.0,95.19000244140624,1062300
2017-01-26,FRC,95.25,95.76000213623048,94.70999908447266,95.6500015258789,919300
2017-01-27,FRC,95.41999816894533,95.41999816894533,94.54000091552734,94.81999969482422,996100
2017-01-30,FRC,94.08000183105467,94.41999816894533,93.4499969482422,94.04000091552734,962400
2017-01-31,FRC,94.12999725341795,94.56999969482422,93.79000091552734,94.33000183105467,1055300
2017-02-01,FRC,95.26000213623048,95.9499969482422,93.7300033569336,93.88999938964844,586400
2017-02-02,FRC,93.51000213623048,93.87000274658205,92.76000213623048,93.5,580400
2017-02-03,FRC,94.79000091552734,95.3000030517578,94.06999969482422,94.9800033569336,645200
2017-02-06,FRC,94.41999816894533,94.93000030517578,94.22000122070312,94.63999938964844,665600
2017-02-07,FRC,95.12999725341795,95.33000183105467,94.01000213623048,94.12000274658205,455200
2017-02-08,FRC,93.48999786376952,93.51000213623048,92.63999938964844,93.25,492100
2017-02-09,FRC,93.55999755859376,95.0199966430664,93.30999755859376,94.9800033569336,536900
