date,ticker,open,high,low,close,volume
2017-01-03,SIVB,174.66000366210938,176.77499389648438,169.41000366210938,172.1199951171875,488819
2017-01-04,SIVB,172.1300048828125,179.3800048828125,172.1300048828125,178.97999572753906,597595
2017-01-05,SIVB,178.2899932861328,179.97000122070312,173.25999450683594,175.1699981689453,601777
2017-01-06,SIVB,176.41000366210938,179.35000610351562,175.47500610351562,177.52000427246094,401672
2017-01-09,SIVB,176.33999633789062,176.33999633789062,173.4199981689453,174.3300018310547,495098
2017-01-10,SIVB,175.67999267578125,176.48199462890625,173.50999450683594,175.9499969482422,470814
2017-01-11,SIVB,175.9499969482422,177.5500030517578,173.86000061035156,177.52999877929688,406707
2017-01-12,SIVB,176.0399932861328,177.36000061035156,171.36099243164062,174.50999450683594,418901
2017-01-13,SIVB,175.91000366210938,180.47999572753903,174.02000427246094,176.58999633789062,307467
2017-01-17,SIVB,174.10000610351562,174.75999450683594,167.1699981689453,167.57000732421875,616249
2017-01-18,SIVB,168.5,168.99000549316406,165.0500030517578,168.80999755859375,1079062
2017-01-19,SIVB,169.33999633789062,170.49000549316406,167.1300048828125,168.58999633789062,423097
2017-01-20,SIVB,168.88999938964844,171.2100067138672,168.77000427246094,170.11000061035156,439216
2017-01-23,SIVB,168.72000122070312,170.64999389648438,165.6999969482422,167.99000549316406,513460
2017-01-24,SIVB,169.33999633789062,173.3699951171875,168.3000030517578,172.4199981689453,555671
2017-01-25,SIVB,174.55999755859375,176.3000030517578,173.00999450683594,175.58999633789062,549139
2017-01-26,SIVB,176.4499969482422,178.5,175.75,177.66000366210938,496893
2017-01-27,SIVB,175.02999877929688,180.0,172.00999450683594,177.41000366210938,614922
2017-01-30,SIVB,175.88999938964844,177.0,170.19000244140625,174.75,652159
2017-01-31,SIVB,174.5399932861328,176.0500030517578,170.3000030517578,172.22999572753906,728314
2017-02-01,SIVB,174.50999450683594,177.44000244140625,171.6699981689453,172.80999755859375,509797
2017-02-02,SIVB,171.49000549316406,173.0,169.47000122070312,170.92999267578125,496898
2017-02-03,SIVB,173.61000061035156,178.47000122070312,172.64999389648438,178.0500030517578,623542
2017-02-06,SIVB,176.9600067138672,178.7899932861328,174.91000366210938,176.02000427246094,347545
2017-02-07,SIVB,177.25,178.7899932861328,175.77000427246094,176.24000549316406,371708
2017-02-08,SIVB,175.36000061035156,176.74000549316406,172.67999267578125,175.83999633789062,399303
2017-02-09,SIVB,177.25999450683594,180.69000244140625,176.13499450683594,179.44000244140625,348529
2017-02-10,SIVB,180.02999877929688,181.25,176.39999389648438,177.47000122070312,441038
2017-02-13,SIVB,178.9499969482422,182.33999633789065,178.9499969482422,180.55999755859372,310036
2017-02-14,SIVB,179.82000732421875,186.5,179.67999267578125,185.4900054931641,378772
2017-02-15,SIVB,186.07000732421875,187.4799041748047,184.69000244140625,185.7400054931641,301413
2017-02-16,SIVB,185.00999450683597,186.13999938964844,183.0800018310547,184.41000366210935,368825
2017-02-17,SIVB,182.5800018310547,184.6100006103516,181.6100006103516,184.5800018310547,305018
2017-02-21,SIVB,185.69000244140625,188.43499755859372,185.13499450683597,187.1199951171875,362258
2017-02-22,SIVB,185.25,189.0399932861328,184.4900054931641,188.1499938964844,557888
2017-02-23,SIVB,187.97000122070312,189.2899932861328,185.5399932861328,189.1300048828125,604545
2017-02-24,SIVB,186.3000030517578,188.33999633789065,185.0,188.22999572753903,559924
2017-02-27,SIVB,189.1699981689453,191.9600067138672,187.64210510253903,191.7899932861328,451734
2017-02-28,SIVB,190.82000732421875,191.77999877929688,188.75,190.88999938964844,658839
2017-03-01,SIVB,196.94000244140625,198.8300018310547,196.0,197.6300048828125,745382
2017-03-02,SIVB,197.91000366210935,198.4900054931641,191.5200042724609,192.1100006103516,518370
2017-03-03,SIVB,192.50999450683597,194.25,191.8300018310547,193.94000244140625,475701
2017-03-06,SIVB,192.63999938964844,194.8300018310547,191.1300048828125,194.25999450683597,448596
2017-03-07,SIVB,193.8800048828125,194.8300018310547,191.6999969482422,193.1199951171875,306852
2017-03-08,SIVB,195.47999572753903,197.25999450683597,193.0399932861328,193.2400054931641,446940
2017-03-09,SIVB,194.1100006103516,195.5249938964844,191.5800018310547,193.8800048828125,388646
2017-03-10,SIVB,195.1300048828125,195.1300048828125,190.6100006103516,193.5200042724609,483135
2017-03-13,SIVB,194.0200042724609,195.4499969482422,193.0500030517578,193.97999572753903,417774
2017-03-14,SIVB,192.33999633789065,194.44000244140625,190.2700042724609,194.2100067138672,269861
2017-03-15,SIVB,194.52999877929688,195.5449981689453,191.1199951171875,191.7700042724609,516700
2017-03-16,SIVB,192.0,195.8300018310547,191.9001007080078,194.8000030517578,405889
2017-03-17,SIVB,194.83999633789065,197.97000122070312,192.57000732421875,197.19000244140625,2520281
2017-03-20,SIVB,197.02999877929688,197.02999877929688,188.42999267578125,188.6100006103516,740187
2017-03-21,SIVB,189.9900054931641,189.9900054931641,174.25999450683594,174.72000122070312,1205080
2017-03-22,SIVB,173.0800018310547,180.0,170.08999633789062,176.1699981689453,859261
2017-03-23,SIVB,176.58999633789062,180.9600067138672,174.5,178.17999267578125,472174
2017-03-24,SIVB,179.88999938964844,180.5800018310547,176.39999389648438,177.94000244140625,501398
2017-03-27,SIVB,174.27999877929688,178.7449951171875,170.0,178.6999969482422,677289
2017-03-28,SIVB,177.6999969482422,183.55999755859372,177.6999969482422,182.0200042724609,456190
2017-03-29,SIVB,181.1199951171875,182.63999938964844,179.0,180.8000030517578,375467
2017-03-30,SIVB,181.27999877929688,188.6300048828125,181.27999877929688,188.25,606136
2017-03-31,SIVB,187.9900054931641,189.83999633789065,186.00999450683597,186.08999633789065,444430
2017-04-03,SIVB,187.1100006103516,187.88999938964844,180.50999450683597,183.7899932861328,572799
2017-04-04,SIVB,181.94000244140625,184.05999755859372,180.50999450683597,182.92999267578125,499740
2017-04-05,SIVB,185.33999633789065,186.3600006103516,177.52999877929688,178.07000732421875,578928
2017-04-06,SIVB,178.3300018310547,183.0,177.13009643554688,182.1100006103516,379047
2017-04-07,SIVB,180.27999877929688,184.02999877929688,177.91000366210938,182.19000244140625,478626
2017-04-10,SIVB,181.9199981689453,184.91000366210935,177.74000549316406,179.80999755859375,363825
2017-04-11,SIVB,179.1999969482422,182.8000030517578,177.3000030517578,182.4499969482422,507424
2017-04-12,SIVB,182.1999969482422,183.82000732421875,178.60000610351562,179.4600067138672,420617
2017-04-13,SIVB,178.0,180.24749755859372,175.61000061035156,176.32000732421875,534158
2017-04-17,SIVB,176.00999450683594,178.72000122070312,173.0800018310547,178.36000061035156,577656
2017-04-18,SIVB,176.97999572753906,179.84500122070312,174.05999755859375,176.82000732421875,302305
2017-04-19,SIVB,178.92999267578125,181.4600067138672,178.2899932861328,178.94000244140625,308174
2017-04-20,SIVB,180.72999572753903,184.1300048828125,179.05999755859375,183.4900054931641,333925
2017-04-21,SIVB,183.1199951171875,184.69000244140625,181.13999938964844,183.1199951171875,333633
2017-04-24,SIVB,188.42999267578125,191.72000122070312,186.47000122070312,187.30999755859372,482779
2017-04-25,SIVB,189.5,191.6300048828125,189.05499267578125,190.19000244140625,490968
2017-04-26,SIVB,189.5200042724609,194.8699951171875,189.5200042724609,192.4900054931641,460223
2017-04-27,SIVB,193.6499938964844,193.6499938964844,188.82000732421875,189.2100067138672,377370
2017-04-28,SIVB,173.7100067138672,183.5,173.00010681152344,175.94000244140625,1494313
2017-05-01,SIVB,176.92999267578125,181.97000122070312,176.09500122070312,180.27999877929688,830066
2017-05-02,SIVB,178.66000366210938,180.5399932861328,177.41000366210938,178.38999938964844,616104
2017-05-03,SIVB,177.0,181.83999633789065,177.0,181.47000122070312,505508
2017-05-04,SIVB,182.63999938964844,185.23800659179688,180.8600006103516,181.83999633789065,353338
2017-05-05,SIVB,183.0,183.0,178.9949951171875,182.6499938964844,418055
2017-05-08,SIVB,182.8999938964844,184.32000732421875,181.2250061035156,183.94000244140625,365095
2017-05-09,SIVB,184.1999969482422,186.77999877929688,182.9600067138672,185.96499633789065,577160
2017-05-10,SIVB,184.69000244140625,187.0,184.5937957763672,186.25,475418
2017-05-11,SIVB,185.2899932861328,186.5500030517578,180.26499938964844,182.94000244140625,516193
2017-05-12,SIVB,181.47000122070312,182.22000122070312,177.13999938964844,181.91000366210935,429414
2017-05-15,SIVB,181.8999938964844,185.55990600585935,181.50999450683597,185.19000244140625,390646
2017-05-16,SIVB,185.42999267578125,185.97000122070312,181.1499938964844,184.6699981689453,449362
2017-05-17,SIVB,180.30999755859372,180.7350006103516,171.55999755859375,174.16000366210938,893230
2017-05-18,SIVB,174.30999755859375,176.39999389648438,171.5500030517578,174.1699981689453,654799
2017-05-19,SIVB,174.9199981689453,178.07000732421875,172.11000061035156,175.69000244140625,474848
2017-05-22,SIVB,176.07000732421875,177.32000732421875,173.67100524902344,176.6199951171875,347512
2017-05-23,SIVB,176.1199951171875,182.22999572753903,174.9149932861328,179.97000122070312,515709
2017-05-24,SIVB,180.44000244140625,180.63999938964844,177.27000427246094,179.63999938964844,305884
2017-05-25,SIVB,180.22000122070312,181.8600006103516,177.8800048828125,179.00999450683594,408640
2017-05-26,SIVB,178.9499969482422,179.36000061035156,176.1999969482422,176.5,548298
2017-05-30,SIVB,175.6699981689453,176.10000610351562,170.44000244140625,173.82000732421875,732942
2017-05-31,SIVB,174.27000427246094,174.32000732421875,166.44000244140625,170.5,3476314
2017-06-01,SIVB,172.47000122070312,174.16000366210938,167.61000061035156,173.44000244140625,688980
2017-06-02,SIVB,170.72000122070312,171.2100067138672,168.2100067138672,169.27000427246094,638919
2017-06-05,SIVB,168.99000549316406,171.94000244140625,168.99000549316406,169.49000549316406,509701
2017-06-06,SIVB,167.16000366210938,170.19839477539062,165.0800018310547,167.9199981689453,637390
2017-06-07,SIVB,169.47999572753906,170.781494140625,168.13999938964844,169.6999969482422,484520
2017-06-08,SIVB,169.11000061035156,179.24000549316406,169.05999755859375,175.55999755859375,502178
2017-06-09,SIVB,177.2100067138672,183.5399932861328,177.2100067138672,180.66000366210935,657885
2017-06-12,SIVB,180.88999938964844,184.6199951171875,180.3000030517578,182.1699981689453,670518
2017-06-13,SIVB,183.30999755859372,185.25,182.22000122070312,183.30999755859372,502649
2017-06-14,SIVB,181.67999267578125,183.07000732421875,177.10000610351562,182.55999755859372,484754
2017-06-15,SIVB,180.75,183.50999450683597,178.52000427246094,179.77999877929688,438559
2017-06-16,SIVB,179.69000244140625,180.91000366210935,177.66000366210938,178.8800048828125,633046
2017-06-19,SIVB,180.47000122070312,182.91000366210935,179.85580444335938,180.75,379423
2017-06-20,SIVB,179.77999877929688,180.42999267578125,177.0800018310547,177.1199951171875,231909
2017-06-21,SIVB,177.82000732421875,180.0113983154297,173.50999450683594,173.85000610351562,458879
2017-06-22,SIVB,173.75,174.63699340820312,170.82000732421875,174.25,420693
2017-06-23,SIVB,175.5800018310547,175.99000549316406,170.6199951171875,170.83999633789062,574324
2017-06-26,SIVB,172.57000732421875,175.3699951171875,170.52000427246094,173.16000366210938,380885
2017-06-27,SIVB,174.27000427246094,177.74989318847656,173.05999755859375,174.4499969482422,442259
2017-06-28,SIVB,176.27000427246094,177.4499969482422,174.74000549316406,176.08999633789062,409989
2017-06-29,SIVB,179.5800018310547,181.4900054931641,175.88999938964844,177.22999572753906,475164
2017-06-30,SIVB,178.0500030517578,178.0500030517578,174.47000122070312,175.7899932861328,551072
2017-07-03,SIVB,177.1699981689453,181.68499755859372,176.00999450683594,179.44000244140625,305933
2017-07-05,SIVB,181.13999938964844,181.5800018310547,177.32000732421875,180.6000061035156,490874
2017-07-06,SIVB,180.2400054931641,182.50999450683597,176.75999450683594,177.11000061035156,537514
2017-07-07,SIVB,178.5,181.97999572753903,177.14999389648438,181.72000122070312,423907
2017-07-10,SIVB,180.5200042724609,182.3500061035156,178.4600067138672,180.9199981689453,408750
2017-07-11,SIVB,181.5500030517578,183.78500366210935,179.5500030517578,182.4199981689453,498219
2017-07-12,SIVB,182.1199951171875,183.625,181.0200042724609,182.1699981689453,490464
2017-07-13,SIVB,182.75999450683597,183.5590057373047,181.6499938964844,183.07000732421875,470484
2017-07-14,SIVB,180.8000030517578,182.91000366210935,178.0800018310547,181.6999969482422,396967
2017-07-17,SIVB,180.5500030517578,181.7899932861328,177.66000366210938,180.57000732421875,349084
2017-07-18,SIVB,179.14999389648438,181.75,178.27000427246094,179.9600067138672,387162
2017-07-19,SIVB,180.22999572753903,182.19000244140625,178.89999389648438,180.07000732421875,241515
2017-07-20,SIVB,180.8000030517578,181.94000244140625,177.80999755859375,179.9600067138672,250209
2017-07-21,SIVB,179.42999267578125,180.47999572753903,176.72999572753906,177.4199981689453,271773
2017-07-24,SIVB,177.19000244140625,179.0850067138672,176.33999633789062,178.27000427246094,748452
2017-07-25,SIVB,181.6499938964844,186.19000244140625,181.6499938964844,182.9900054931641,719793
2017-07-26,SIVB,182.69000244140625,184.25,177.97999572753906,178.64999389648438,435387
2017-07-27,SIVB,180.05999755859375,181.83999633789065,177.39999389648438,179.13999938964844,548308
2017-07-28,SIVB,178.0,178.0,172.0,176.99000549316406,755489
2017-07-31,SIVB,178.47000122070312,179.1699981689453,177.41749572753906,178.44000244140625,594273
2017-08-01,SIVB,180.1999969482422,184.71499633789065,179.27999877929688,183.38999938964844,675671
2017-08-02,SIVB,182.97999572753903,184.1699981689453,181.75,183.3300018310547,347355
2017-08-03,SIVB,183.5,184.7400054931641,181.1499938964844,181.44000244140625,426583
2017-08-04,SIVB,184.00999450683597,186.8000030517578,182.1999969482422,184.88999938964844,439976
2017-08-07,SIVB,185.8300018310547,187.7100067138672,182.67999267578125,182.8500061035156,318640
2017-08-08,SIVB,183.13999938964844,187.25999450683597,182.75999450683597,184.00999450683597,505109
2017-08-09,SIVB,182.1300048828125,183.94000244140625,178.7899932861328,179.5500030517578,291163
2017-08-10,SIVB,177.77999877929688,178.30999755859375,172.5500030517578,172.82000732421875,360224
2017-08-11,SIVB,172.25999450683594,174.6199951171875,170.27000427246094,172.02999877929688,513125
2017-08-14,SIVB,175.16000366210938,176.77000427246094,173.19000244140625,174.3300018310547,397428
2017-08-15,SIVB,175.88999938964844,177.0399932861328,174.56500244140625,174.66000366210938,329984
2017-08-16,SIVB,175.24000549316406,176.48500061035156,173.27499389648438,174.1300048828125,378448
2017-08-17,SIVB,173.42999267578125,174.63999938964844,165.41000366210938,166.3000030517578,447759
2017-08-18,SIVB,165.64999389648438,168.25999450683594,163.69000244140625,166.58999633789062,429131
2017-08-21,SIVB,166.6699981689453,167.625,163.91000366210938,164.83999633789062,345300
2017-08-22,SIVB,165.9600067138672,168.52000427246094,165.4199981689453,168.33999633789062,266183
2017-08-23,SIVB,166.30999755859375,170.90269470214844,165.02000427246094,168.42999267578125,362053
2017-08-24,SIVB,169.57000732421875,169.9600067138672,167.9600067138672,169.33999633789062,239294
2017-08-25,SIVB,169.67999267578125,171.49000549316406,168.52999877929688,169.63999938964844,303307
2017-08-28,SIVB,169.7899932861328,170.8800048828125,167.5399932861328,167.9499969482422,190918
